epoch,step,train_loss,val_loss
0,49,0.3905717730522156,
0,99,0.18175950646400452,
0,149,0.13330766558647156,
0,199,0.09381861984729767,
0,236,,0.08533555269241333
1,249,0.1241646483540535,
1,299,0.035457149147987366,
1,349,0.06172603368759155,
1,399,0.1626417636871338,
1,449,0.03736581653356552,
1,473,,0.04632553085684776
2,499,0.01615937426686287,
2,549,0.0911470502614975,
2,599,0.0035788968671113253,
2,649,0.013626782223582268,
2,699,0.015189848840236664,
2,710,,0.03530556336045265
3,749,0.005329362116754055,
3,799,0.03760771080851555,
3,849,0.08486256003379822,
3,899,0.008744511753320694,
3,947,,0.03046843595802784
4,949,0.02835468202829361,
4,999,0.006148838438093662,
4,1049,0.0023451335728168488,
4,1099,0.01061226986348629,
4,1149,0.02124735899269581,
4,1184,,0.028442151844501495
5,1199,0.02676534652709961,
5,1249,0.00493188202381134,
5,1299,0.004805160220712423,
5,1349,0.0020779785700142384,
5,1399,0.0025926295202225447,
5,1421,,0.024593975394964218
6,1449,0.001690685166977346,
6,1499,0.011646011844277382,
6,1549,0.011222120374441147,
6,1599,0.006212886888533831,
6,1649,0.002486409153789282,
6,1658,,0.022894538938999176
7,1699,0.0015955837443470955,
7,1749,0.006268493831157684,
7,1799,0.0039410884492099285,
7,1849,0.0009840645361691713,
7,1895,,0.021543072536587715
8,1899,0.017366141080856323,
8,1949,0.0035693736281245947,
8,1999,0.01569242961704731,
8,2049,0.002253569196909666,
8,2099,0.00150667957495898,
8,2132,,0.02114947699010372
9,2149,0.0009221321670338511,
9,2199,0.0009885882027447224,
9,2249,0.0019372436217963696,
9,2299,0.002986294450238347,
9,2349,0.000369454879546538,
9,2369,,0.02073347009718418
10,2399,0.009983017109334469,
10,2449,0.005706470459699631,
10,2499,0.00011063633428420871,
10,2549,0.013958477415144444,
10,2599,0.010967151261866093,
10,2606,,0.020053040236234665
11,2649,0.008781841024756432,
11,2699,0.001173962838947773,
11,2749,0.0031081587076187134,
11,2799,0.0010250965133309364,
11,2843,,0.01982811838388443
12,2849,0.001403644448146224,
12,2899,0.005410103593021631,
12,2949,0.007919635623693466,
12,2999,0.011001138016581535,
12,3049,0.00801385659724474,
12,3080,,0.02279815450310707
13,3099,0.009674100205302238,
13,3149,0.009977058507502079,
13,3199,0.00024422502610832453,
13,3249,0.0017841769149526954,
13,3299,0.008702352643013,
13,3317,,0.018031461164355278
14,3349,0.00635478924959898,
14,3399,0.0022851070389151573,
14,3449,0.007751683704555035,
14,3499,0.00033917961991392076,
14,3549,0.0027512675151228905,
14,3554,,0.018712835386395454
