epoch,step,test_loss,train_loss,val_loss
0,49,,0.3949226438999176,
0,99,,0.1857239305973053,
0,149,,0.08576993644237518,
0,199,,0.10324729979038239,
0,236,,,0.07388298958539963
1,249,,0.061868853867053986,
1,299,,0.08011696487665176,
1,349,,0.03424116224050522,
1,399,,0.05849957466125488,
1,449,,0.07325846701860428,
1,473,,,0.043512213975191116
2,499,,0.07606282085180283,
2,549,,0.0074405306950211525,
2,599,,0.011397833935916424,
2,649,,0.050573110580444336,
2,699,,0.008035607635974884,
2,710,,,0.0316774882376194
3,749,,0.00926273874938488,
3,799,,0.01079744566231966,
3,849,,0.009782993234694004,
3,899,,0.004628749564290047,
3,947,,,0.029793761670589447
4,949,,0.018424781039357185,
4,999,,0.007381105795502663,
4,1049,,0.00975025724619627,
4,1099,,0.02315535396337509,
4,1149,,0.01244394015520811,
4,1184,,,0.023739613592624664
5,1199,,0.006980138830840588,
5,1249,,0.0066953483037650585,
5,1299,,0.005181863438338041,
5,1349,,0.10602530837059021,
5,1399,,0.0016929877456277609,
5,1421,,,0.02029084414243698
6,1449,,0.029297133907675743,
6,1499,,0.0022317678667604923,
6,1549,,0.0392887219786644,
6,1599,,0.002516989829018712,
6,1649,,0.0016025025397539139,
6,1658,,,0.019264619797468185
7,1699,,0.010797339491546154,
7,1749,,0.017183125019073486,
7,1799,,0.0015310613671317697,
7,1849,,0.0011128094047307968,
7,1895,,,0.01745074801146984
8,1899,,0.018990058451890945,
8,1949,,0.004613238386809826,
8,1999,,0.015459157526493073,
8,2049,,0.008661198429763317,
8,2099,,0.003215714357793331,
8,2132,,,0.019653139635920525
9,2149,,0.0042515285313129425,
9,2199,,0.003153301775455475,
9,2249,,0.0032746309880167246,
9,2299,,0.0015880691353231668,
9,2349,,0.00648249126970768,
9,2369,,,0.019622182473540306
10,2399,,0.003163265762850642,
10,2449,,0.016065990552306175,
10,2499,,0.000519283814355731,
10,2549,,0.0013824384659528732,
10,2599,,0.020804665982723236,
10,2606,,,0.016300367191433907
11,2649,,0.00866722408682108,
11,2699,,0.004104448016732931,
11,2749,,0.019746650010347366,
11,2799,,0.00142692681401968,
11,2843,,,0.017026804387569427
12,2849,,0.0075761363841593266,
12,2899,,0.004939737729728222,
12,2949,,0.0013520661741495132,
12,2999,,0.016117986291646957,
12,3049,,0.0025128622073680162,
12,3080,,,0.016137605533003807
13,3099,,0.007720464840531349,
13,3149,,0.0011338876793161035,
13,3199,,0.00036969390930607915,
13,3249,,0.010277535766363144,
13,3299,,0.002351993229240179,
13,3317,,,0.016313545405864716
14,3349,,0.010421080514788628,
14,3399,,0.036063335835933685,
14,3449,,0.013052985072135925,
14,3499,,0.02257765643298626,
14,3549,,0.005311543121933937,
14,3554,,,0.019790425896644592
15,3555,0.024709103628993034,,
