epoch,step,test_loss,train_loss,val_loss
0,49,,0.4223199486732483,
0,99,,0.2191743105649948,
0,149,,0.13598892092704773,
0,199,,0.061539508402347565,
0,236,,,0.07567557692527771
1,249,,0.0373251810669899,
1,299,,0.04797250032424927,
1,349,,0.0536719411611557,
1,399,,0.08804941177368164,
1,449,,0.03756890818476677,
1,473,,,0.04422476887702942
2,499,,0.04793085157871246,
2,549,,0.08249158412218094,
2,599,,0.019196975976228714,
2,649,,0.012212947010993958,
2,699,,0.03288203477859497,
2,710,,,0.03432824835181236
3,749,,0.00899515487253666,
3,799,,0.11271008104085922,
3,849,,0.015154216438531876,
3,899,,0.01142627652734518,
3,947,,,0.029913606122136116
4,949,,0.02647736296057701,
4,999,,0.020857349038124084,
4,1049,,0.032182302325963974,
4,1099,,0.023711223155260086,
4,1149,,0.002969082910567522,
4,1184,,,0.028892071917653084
5,1199,,0.0027750772424042225,
5,1249,,0.0033593387342989445,
5,1299,,0.038653455674648285,
5,1349,,0.003919662907719612,
5,1399,,0.004919636994600296,
5,1421,,,0.02469698339700699
6,1449,,0.0008617559215053916,
6,1499,,0.01873772405087948,
6,1549,,0.004215005785226822,
6,1599,,0.005191972479224205,
6,1649,,0.003366183489561081,
6,1658,,,0.023242535069584846
7,1699,,0.0249081552028656,
7,1749,,0.032097622752189636,
7,1799,,0.004261780995875597,
7,1849,,0.001974322833120823,
7,1895,,,0.021900448948144913
8,1899,,0.035369664430618286,
8,1949,,0.010946573689579964,
8,1999,,0.0033773977775126696,
8,2049,,0.005216461606323719,
8,2099,,0.023049242794513702,
8,2132,,,0.02305154874920845
9,2149,,0.0073103588074445724,
9,2199,,0.0010585677810013294,
9,2249,,0.007278445176780224,
9,2299,,0.006374100223183632,
9,2349,,0.01205483078956604,
9,2369,,,0.0205061174929142
10,2399,,0.001533465227112174,
10,2449,,0.016754671931266785,
10,2499,,0.004207989666610956,
10,2549,,0.00028751289937645197,
10,2599,,0.00010292472143191844,
10,2606,,,0.022252671420574188
11,2649,,0.004011023323982954,
11,2699,,0.0013469152618199587,
11,2749,,0.020729266107082367,
11,2799,,0.0008776355534791946,
11,2843,,,0.019207704812288284
12,2849,,0.0011695758439600468,
12,2899,,0.00417610676959157,
12,2949,,0.0007774996338412166,
12,2999,,0.0004065302200615406,
12,3049,,0.0022842513862997293,
12,3080,,,0.018681734800338745
13,3099,,0.0021111126989126205,
13,3149,,0.002680879784747958,
13,3199,,0.012150834314525127,
13,3249,,0.03911931812763214,
13,3299,,0.0002367640263400972,
13,3317,,,0.018595797941088676
14,3349,,0.0001706368348095566,
14,3399,,0.026033544912934303,
14,3449,,0.004699414130300283,
14,3499,,0.027555853128433228,
14,3549,,0.01598716899752617,
14,3554,,,0.018722642213106155
15,3555,0.01830337755382061,,
