epoch,step,test_loss,train_loss,val_loss
0,49,,0.6387044191360474,
0,99,,0.6108207106590271,
0,149,,0.6337180137634277,
0,199,,0.6961182355880737,
0,236,,,0.5656813383102417
1,249,,0.5396484136581421,
1,299,,0.48487985134124756,
1,349,,0.5452184677124023,
1,399,,0.6113117933273315,
1,449,,0.4314415454864502,
1,473,,,0.508076012134552
2,499,,0.41513365507125854,
2,549,,0.5194100737571716,
2,599,,0.48108336329460144,
2,649,,0.46448200941085815,
2,699,,0.43878352642059326,
2,710,,,0.4682473838329315
3,749,,0.43546274304389954,
3,799,,0.42158618569374084,
3,849,,0.45824962854385376,
3,899,,0.4142884612083435,
3,947,,,0.4374469220638275
4,949,,0.4827389121055603,
4,999,,0.4030027389526367,
4,1049,,0.3690722584724426,
4,1099,,0.26765334606170654,
4,1149,,0.3801378011703491,
4,1184,,,0.4024566113948822
5,1199,,0.3606131672859192,
5,1249,,0.44745150208473206,
5,1299,,0.4164692163467407,
5,1349,,0.47265732288360596,
5,1399,,0.2966752052307129,
5,1421,,,0.42057928442955017
6,1449,,0.42681458592414856,
6,1499,,0.35168275237083435,
6,1549,,0.39912164211273193,
6,1599,,0.3730839192867279,
6,1649,,0.31426918506622314,
6,1658,,,0.3572580814361572
7,1699,,0.34180742502212524,
7,1749,,0.37308913469314575,
7,1799,,0.3492301106452942,
7,1849,,0.23784253001213074,
7,1895,,,0.358174592256546
8,1899,,0.3486570715904236,
8,1949,,0.34291571378707886,
8,1999,,0.2751851975917816,
8,2049,,0.3017481863498688,
8,2099,,0.2924591302871704,
8,2132,,,0.3261799216270447
9,2149,,0.33508729934692383,
9,2199,,0.34782731533050537,
9,2249,,0.31908780336380005,
9,2299,,0.3887075185775757,
9,2349,,0.29201430082321167,
9,2369,,,0.3562139868736267
10,2399,,0.3038819134235382,
10,2449,,0.3146454095840454,
10,2499,,0.28367966413497925,
10,2549,,0.3716447949409485,
10,2599,,0.335586279630661,
10,2606,,,0.34217455983161926
11,2649,,0.30661383271217346,
11,2699,,0.3363560140132904,
11,2749,,0.2850850820541382,
11,2799,,0.3633439540863037,
11,2843,,,0.3032287061214447
12,2849,,0.2844163179397583,
12,2899,,0.22109776735305786,
12,2949,,0.28129541873931885,
12,2999,,0.42944636940956116,
12,3049,,0.20400166511535645,
12,3080,,,0.29582270979881287
13,3099,,0.31246840953826904,
13,3149,,0.2544636130332947,
13,3199,,0.291049063205719,
13,3249,,0.2873857021331787,
13,3299,,0.13257749378681183,
13,3317,,,0.2970486581325531
14,3349,,0.2807753384113312,
14,3399,,0.3083275854587555,
14,3449,,0.3913237452507019,
14,3499,,0.27477768063545227,
14,3549,,0.21849319338798523,
14,3554,,,0.2787424921989441
15,3555,0.27964866161346436,,
