epoch,step,test_loss,train_loss,val_loss
0,49,,0.38625821471214294,
0,99,,0.2274617999792099,
0,149,,0.20684604346752167,
0,199,,0.033930741250514984,
0,236,,,0.07820101827383041
1,249,,0.057587046176195145,
1,299,,0.05451502650976181,
1,349,,0.056686997413635254,
1,399,,0.01800849288702011,
1,449,,0.013625603169202805,
1,473,,,0.04887237772345543
2,499,,0.0241155494004488,
2,549,,0.011974504217505455,
2,599,,0.02427643910050392,
2,649,,0.05062257498502731,
2,699,,0.017262179404497147,
2,710,,,0.03599123656749725
3,749,,0.030116137117147446,
3,799,,0.04709994047880173,
3,849,,0.04891226813197136,
3,899,,0.007437745574861765,
3,947,,,0.02943984977900982
4,949,,0.013360804878175259,
4,999,,0.022386180236935616,
4,1049,,0.04748522490262985,
4,1099,,0.008965324610471725,
4,1149,,0.010001717135310173,
4,1184,,,0.026657672598958015
5,1199,,0.004381180740892887,
5,1249,,0.030195115134119987,
5,1299,,0.042381588369607925,
5,1349,,0.04264656454324722,
5,1399,,0.006673130206763744,
5,1421,,,0.024776415899395943
6,1449,,0.02824542298913002,
6,1499,,0.0030833561904728413,
6,1549,,0.01620383746922016,
6,1599,,0.0831948071718216,
6,1649,,0.0035205059684813023,
6,1658,,,0.024211587384343147
7,1699,,0.002042445819824934,
7,1749,,0.01470804400742054,
7,1799,,0.037984348833560944,
7,1849,,0.0028435164131224155,
7,1895,,,0.022108670324087143
8,1899,,0.005704645067453384,
8,1949,,0.027478162199258804,
8,1999,,0.004469744861125946,
8,2049,,0.01604788936674595,
8,2099,,0.005519837141036987,
8,2132,,,0.020851239562034607
9,2149,,0.00812047254294157,
9,2199,,0.002057509496808052,
9,2249,,0.0005528942565433681,
9,2299,,0.01728498376905918,
9,2349,,0.007198290899395943,
9,2369,,,0.02071624994277954
10,2399,,0.0005290017579682171,
10,2449,,0.006590257398784161,
10,2499,,0.0028158121276646852,
10,2549,,0.00202909461222589,
10,2599,,0.005742365960031748,
10,2606,,,0.019637078046798706
11,2649,,0.0011686247307807207,
11,2699,,0.0015861776191741228,
11,2749,,0.011554604396224022,
11,2799,,0.0024691440630704165,
11,2843,,,0.01984976790845394
12,2849,,0.000844463414978236,
12,2899,,0.0013227451127022505,
12,2949,,0.002868883078917861,
12,2999,,0.006530385464429855,
12,3049,,0.026523858308792114,
12,3080,,,0.020282994955778122
13,3099,,9.553904965287074e-05,
13,3149,,0.01922205649316311,
13,3199,,0.00269946176558733,
13,3249,,0.012915914878249168,
13,3299,,0.001707429881207645,
13,3317,,,0.01952386274933815
14,3349,,0.00108043453656137,
14,3399,,0.013717100955545902,
14,3449,,0.0015436524990946054,
14,3499,,0.007551395334303379,
14,3549,,0.01998748444020748,
14,3554,,,0.02221796289086342
15,3555,0.028486935421824455,,
15,3555,0.028486935421824455,,
