epoch,step,test_loss,train_loss,val_loss
0,49,,0.4042852818965912,
0,99,,0.1823141723871231,
0,149,,0.17366668581962585,
0,199,,0.06945770978927612,
0,236,,,0.09016452729701996
1,249,,0.03959537670016289,
1,299,,0.16046318411827087,
1,349,,0.04231853038072586,
1,399,,0.05074203759431839,
1,449,,0.10492315143346786,
1,473,,,0.05680648609995842
2,499,,0.03461231291294098,
2,549,,0.020476894453167915,
2,599,,0.01875467039644718,
2,649,,0.004162236116826534,
2,699,,0.007192867808043957,
2,710,,,0.04553098604083061
3,749,,0.003163130022585392,
3,799,,0.01456737332046032,
3,849,,0.01688028872013092,
3,899,,0.006850885692983866,
3,947,,,0.03979965299367905
4,949,,0.004166949540376663,
4,999,,0.03433700278401375,
4,1049,,0.04608933627605438,
4,1099,,0.01056782715022564,
4,1149,,0.004069064278155565,
4,1184,,,0.03771738335490227
5,1199,,0.049939412623643875,
5,1249,,0.010510355234146118,
5,1299,,0.0013824673369526863,
5,1349,,0.003992307465523481,
5,1399,,0.00947791337966919,
5,1421,,,0.03554847463965416
6,1449,,0.00371301406994462,
6,1499,,0.03410331904888153,
6,1549,,0.0035430644638836384,
6,1599,,0.00011220567830605432,
6,1649,,0.004075272474437952,
6,1658,,,0.032991282641887665
7,1699,,0.0027619905304163694,
7,1749,,0.0009315423085354269,
7,1799,,0.003475201316177845,
7,1849,,0.00652992632240057,
7,1895,,,0.032023295760154724
8,1899,,0.0005983641603961587,
8,1949,,0.023295557126402855,
8,1999,,0.006305293180048466,
8,2049,,0.00211868854239583,
8,2099,,0.0010372749529778957,
8,2132,,,0.03412983939051628
9,2149,,0.0016663151327520609,
9,2199,,0.0037262625992298126,
9,2249,,0.005386466160416603,
9,2299,,0.01004810445010662,
9,2349,,0.006355196703225374,
9,2369,,,0.0352853499352932
10,2399,,0.012409576214849949,
10,2449,,0.004238614812493324,
10,2499,,0.0031206225976347923,
10,2549,,0.008323275484144688,
10,2599,,0.0033413805067539215,
10,2606,,,0.03418540954589844
11,2649,,0.002778032561764121,
11,2699,,0.0028157876804471016,
11,2749,,0.002694209571927786,
11,2799,,0.00013749487698078156,
11,2843,,,0.038696229457855225
12,2849,,0.029634010046720505,
12,2899,,0.0008900357643142343,
12,2949,,0.0013265071902424097,
12,2999,,0.0007999655790627003,
12,3049,,0.0019311438081786036,
12,3080,,,0.035187479108572006
13,3099,,0.001459714723750949,
13,3149,,0.0003458069986663759,
13,3199,,0.00026850742870010436,
13,3249,,0.0022252597846090794,
13,3299,,0.004735059104859829,
13,3317,0.017203889787197113,,
