epoch,step,test_loss,train_loss,val_loss
0,49,,0.3576565980911255,
0,99,,0.22532907128334045,
0,149,,0.0827636867761612,
0,199,,0.07353648543357849,
0,236,,,0.0714610293507576
1,249,,0.03597314655780792,
1,299,,0.040118101984262466,
1,349,,0.039274170994758606,
1,399,,0.027566444128751755,
1,449,,0.02052963525056839,
1,473,,,0.04126424714922905
2,499,,0.14412720501422882,
2,549,,0.037347301840782166,
2,599,,0.017924390733242035,
2,649,,0.022568006068468094,
2,699,,0.006904470734298229,
2,710,,,0.03050766885280609
3,749,,0.02089698240160942,
3,799,,0.04029778018593788,
3,849,,0.08886133134365082,
3,899,,0.0015312624163925648,
3,947,,,0.025486156344413757
4,949,,0.007100885733962059,
4,999,,0.015444278717041016,
4,1049,,0.009872786700725555,
4,1099,,0.003484581131488085,
4,1149,,0.009946676902472973,
4,1184,,,0.022044990211725235
5,1199,,0.0027541164308786392,
5,1249,,0.005053060594946146,
5,1299,,0.009911221452057362,
5,1349,,0.02687925472855568,
5,1399,,0.018325358629226685,
5,1421,,,0.020661095157265663
6,1449,,0.008773859590291977,
6,1499,,0.009728639386594296,
6,1549,,0.008070290088653564,
6,1599,,0.005652776453644037,
6,1649,,0.0008215246489271522,
6,1658,,,0.020028462633490562
7,1699,,0.010357946157455444,
7,1749,,0.008297287859022617,
7,1799,,0.005267499014735222,
7,1849,,0.03774804621934891,
7,1895,,,0.0204008761793375
8,1899,,0.003518473356962204,
8,1949,,0.04525081068277359,
8,1999,,0.0029316763393580914,
8,2049,,0.0008857219363562763,
8,2099,,0.0014535897644236684,
8,2132,,,0.01831570826470852
9,2149,,0.018086206167936325,
9,2199,,0.0086838873103261,
9,2249,,0.004793317522853613,
9,2299,,0.0017966916784644127,
9,2349,,0.0031599909998476505,
9,2369,,,0.017225071787834167
10,2399,,0.0021946225315332413,
10,2449,,0.0011320875491946936,
10,2499,,0.0034689658787101507,
10,2549,,0.036929529160261154,
10,2599,,0.0019320485880598426,
10,2606,,,0.01738930121064186
11,2649,,0.0008183409809134901,
11,2699,,0.0025163155514746904,
11,2749,,0.0019502892391756177,
11,2799,,0.0075404029339551926,
11,2843,,,0.017575139179825783
12,2849,,0.005304235499352217,
12,2899,,0.01025904156267643,
12,2949,,0.005433429032564163,
12,2999,,0.019226333126425743,
12,3049,,0.0036755173932760954,
12,3080,,,0.01752851903438568
13,3099,,0.0055563366040587425,
13,3149,,0.0002242152695544064,
13,3199,,0.0043572960421442986,
13,3249,,0.021182842552661896,
13,3299,,0.00042826891876757145,
13,3317,,,0.016354454681277275
14,3349,,0.0006810096092522144,
14,3399,,0.002394012175500393,
14,3449,,0.0009980917675420642,
14,3499,,0.013621116057038307,
14,3549,,0.01787087321281433,
14,3554,,,0.016038771718740463
15,3555,0.022876013070344925,,
