epoch,step,test_loss,train_loss,val_loss
0,49,,0.3741501569747925,
0,99,,0.1223735362291336,
0,149,,0.06774261593818665,
0,199,,0.07209256291389465,
0,236,,,0.07517603784799576
1,249,,0.039570607244968414,
1,299,,0.06089246645569801,
1,349,,0.025173351168632507,
1,399,,0.08488433063030243,
1,449,,0.019190719351172447,
1,473,,,0.04661847651004791
2,499,,0.022525541484355927,
2,549,,0.03193815425038338,
2,599,,0.11006921529769897,
2,649,,0.010678084567189217,
2,699,,0.005064091645181179,
2,710,,,0.03660527989268303
3,749,,0.10354476422071457,
3,799,,0.045483823865652084,
3,849,,0.020988844335079193,
3,899,,0.009842703118920326,
3,947,,,0.03363187238574028
4,949,,0.004826221615076065,
4,999,,0.009005749598145485,
4,1049,,0.015944529324769974,
4,1099,,0.014069012366235256,
4,1149,,0.004252188839018345,
4,1184,,,0.033830951899290085
5,1199,,0.004744234960526228,
5,1249,,0.02865300513803959,
5,1299,,0.005543540697544813,
5,1349,,0.002149718813598156,
5,1399,,0.007418418303132057,
5,1421,,,0.027590176090598106
6,1449,,0.00047665805323049426,
6,1499,,0.01644938811659813,
6,1549,,0.012792650610208511,
6,1599,,0.015069706365466118,
6,1649,,0.017596552148461342,
6,1658,,,0.027383163571357727
7,1699,,0.001516066025942564,
7,1749,,0.004514790140092373,
7,1799,,0.005624062847346067,
7,1849,,0.011020525358617306,
7,1895,,,0.02829834446310997
8,1899,,0.005765015259385109,
8,1949,,0.006876460276544094,
8,1999,,0.0017598028061911464,
8,2049,,0.0016384031623601913,
8,2099,,0.02249789983034134,
8,2132,,,0.025555187836289406
9,2149,,0.0005711503908969462,
9,2199,,0.0013776002451777458,
9,2249,,0.0018978813895955682,
9,2299,,0.0073899454437196255,
9,2349,,0.0011632350506260991,
9,2369,,,0.026977863162755966
10,2399,,0.006933408789336681,
10,2449,,0.00584561238065362,
10,2499,,0.02143058553338051,
10,2549,,0.001837303163483739,
10,2599,,0.002001829445362091,
10,2606,,,0.02524719573557377
11,2649,,0.0006501682219095528,
11,2699,,0.0004222735296934843,
11,2749,,0.01917140744626522,
11,2799,,0.004764672834426165,
11,2843,,,0.023951133713126183
12,2849,,0.028546996414661407,
12,2899,,0.0003962673945352435,
12,2949,,0.002795204985886812,
12,2999,,0.0005326109821908176,
12,3049,,0.0011357414769008756,
12,3080,,,0.02485956996679306
13,3099,,0.02057468891143799,
13,3149,,0.006431791000068188,
13,3199,,0.000970041670370847,
13,3249,,0.0016589952865615487,
13,3299,,0.012919247150421143,
13,3317,,,0.032101865857839584
14,3349,,0.011600076220929623,
14,3399,,0.0007798246806487441,
14,3449,,0.0355554036796093,
14,3499,,0.02617405354976654,
14,3549,,0.000236363586736843,
14,3554,,,0.024729637429118156
15,3555,0.020275041460990906,,
