epoch,step,test_loss,train_loss,val_loss
0,49,,0.373201847076416,
0,99,,0.1984565258026123,
0,149,,0.08560842275619507,
0,199,,0.052677810192108154,
0,236,,,0.07785670459270477
1,249,,0.1061137318611145,
1,299,,0.06473519653081894,
1,349,,0.033600397408008575,
1,399,,0.02778712287545204,
1,449,,0.027407728135585785,
1,473,,,0.045568786561489105
2,499,,0.04488290846347809,
2,549,,0.030720124021172523,
2,599,,0.026539497077465057,
2,649,,0.040380701422691345,
2,699,,0.007023323327302933,
2,710,,,0.033713288605213165
3,749,,0.024202924221754074,
3,799,,0.003516814671456814,
3,849,,0.00717353168874979,
3,899,,0.036108143627643585,
3,947,,,0.028894847258925438
4,949,,0.002585118403658271,
4,999,,0.019586436450481415,
4,1049,,0.0019569091964513063,
4,1099,,0.001754825934767723,
4,1149,,0.00927380658686161,
4,1184,,,0.028484666720032692
5,1199,,0.06581099331378937,
5,1249,,0.01620226912200451,
5,1299,,0.06967604905366898,
5,1349,,0.0037784180603921413,
5,1399,,0.01005757786333561,
5,1421,,,0.025074215605854988
6,1449,,0.023756684735417366,
6,1499,,0.005163135472685099,
6,1549,,0.006171756889671087,
6,1599,,0.009083487093448639,
6,1649,,0.00428772671148181,
6,1658,,,0.02373676933348179
7,1699,,0.01223598700016737,
7,1749,,0.021669676527380943,
7,1799,,0.013778443448245525,
7,1849,,0.05878490209579468,
7,1895,,,0.023918749764561653
8,1899,,0.03420085459947586,
8,1949,,0.002010662341490388,
8,1999,,0.013693779706954956,
8,2049,,0.014695285819470882,
8,2099,,0.05770330876111984,
8,2132,,,0.026020372286438942
9,2149,,0.044350288808345795,
9,2199,,0.015974150970578194,
9,2249,,0.0025580318178981543,
9,2299,,0.022912226617336273,
9,2349,,0.006638509687036276,
9,2369,,,0.025134099647402763
10,2399,,0.0009383063879795372,
10,2449,,0.001908728270791471,
10,2499,,0.017791088670492172,
10,2549,,0.016983959823846817,
10,2599,,0.010806672275066376,
10,2606,,,0.023909203708171844
11,2649,,0.014293634332716465,
11,2699,,0.003693442326039076,
11,2749,,0.048392847180366516,
11,2799,,0.005743601359426975,
11,2843,,,0.024806886911392212
12,2849,,0.0067990790121257305,
12,2899,,0.0031798407435417175,
12,2949,,0.010598794557154179,
12,2999,,0.014906257390975952,
12,3049,,0.02542106993496418,
12,3080,,,0.025062140077352524
13,3099,,0.0014360171044245362,
13,3149,,0.006840233691036701,
13,3199,,0.006904792506247759,
13,3249,,0.0004994311602786183,
13,3299,,0.0013065061066299677,
13,3317,,,0.02605500817298889
14,3349,,0.011928427964448929,
14,3399,,0.006970840040594339,
14,3449,,0.0006855033570900559,
14,3499,,0.025872372090816498,
14,3549,,0.0008808567654341459,
14,3554,,,0.024073174223303795
15,3555,0.016717752441763878,,
