epoch,step,test_loss,train_loss,val_loss
0,49,,0.3275378346443176,
0,99,,0.22608038783073425,
0,149,,0.05548563972115517,
0,199,,0.12308977544307709,
0,236,,,0.08474151045084
1,249,,0.15850485861301422,
1,299,,0.03771357238292694,
1,349,,0.22131913900375366,
1,399,,0.11228863894939423,
1,449,,0.03250633925199509,
1,473,,,0.05193687230348587
2,499,,0.027929220348596573,
2,549,,0.012653186917304993,
2,599,,0.02140185981988907,
2,649,,0.031058795750141144,
2,699,,0.03156854957342148,
2,710,,,0.04133206605911255
3,749,,0.06541896611452103,
3,799,,0.020333683118224144,
3,849,,0.017862044274806976,
3,899,,0.005750289652496576,
3,947,,,0.034284770488739014
4,949,,0.02787567488849163,
4,999,,0.012594550848007202,
4,1049,,0.011361696757376194,
4,1099,,0.022613966837525368,
4,1149,,0.010472187772393227,
4,1184,,,0.03445085138082504
5,1199,,0.049233075231313705,
5,1249,,0.08343417942523956,
5,1299,,0.01077558845281601,
5,1349,,0.014597762376070023,
5,1399,,0.02996841073036194,
5,1421,,,0.028578974306583405
6,1449,,0.00225202739238739,
6,1499,,0.008356861770153046,
6,1549,,0.06658019125461578,
6,1599,,0.007643781136721373,
6,1649,,0.01136777363717556,
6,1658,,,0.02726338803768158
7,1699,,0.01059245876967907,
7,1749,,0.0126359723508358,
7,1799,,0.0004296360129956156,
7,1849,,0.015501782298088074,
7,1895,,,0.026674410328269005
8,1899,,0.0020731468684971333,
8,1949,,0.025339379906654358,
8,1999,,0.001929704798385501,
8,2049,,0.005845856387168169,
8,2099,,0.026692524552345276,
8,2132,,,0.025690047070384026
9,2149,,0.010029648430645466,
9,2199,,0.0001345227938145399,
9,2249,,0.0028114505112171173,
9,2299,,0.015082072466611862,
9,2349,,0.0028501879423856735,
9,2369,,,0.026324570178985596
10,2399,,0.0017827380215749145,
10,2449,,0.0043443115428090096,
10,2499,,0.00737339910119772,
10,2549,,0.0019666452426463366,
10,2599,,0.00664551742374897,
10,2606,,,0.02486073039472103
11,2649,,0.0024546480271965265,
11,2699,,0.000992550514638424,
11,2749,,0.005921058356761932,
11,2799,,0.004643199499696493,
11,2843,,,0.02482190541923046
12,2849,,0.0009510376257821918,
12,2899,,0.047668036073446274,
12,2949,,0.012387612834572792,
12,2999,,0.014797565527260303,
12,3049,,0.010726174339652061,
12,3080,,,0.026011116802692413
13,3099,,0.0010095506440848112,
13,3149,,0.002917518140748143,
13,3199,,0.004883196204900742,
13,3249,,0.0005840787780471146,
13,3299,,0.001972136553376913,
13,3317,,,0.02552534081041813
14,3349,,0.006742427125573158,
14,3399,,0.003121817484498024,
14,3449,,0.006248260848224163,
14,3499,,0.0025639906525611877,
14,3549,,0.0019093260634690523,
14,3554,,,0.024378230795264244
15,3555,0.016575979068875313,,
