epoch,step,test_loss,train_loss,val_loss
0,49,,0.3555148243904114,
0,99,,0.3441874384880066,
0,149,,0.07303068041801453,
0,199,,0.16215790808200836,
0,236,,,0.07180333882570267
1,249,,0.10615463554859161,
1,299,,0.06335709989070892,
1,349,,0.04019752889871597,
1,399,,0.1070123165845871,
1,449,,0.017937295138835907,
1,473,,,0.040969546884298325
2,499,,0.14843349158763885,
2,549,,0.021166305989027023,
2,599,,0.16282305121421814,
2,649,,0.04435211792588234,
2,699,,0.010034875012934208,
2,710,,,0.031508203595876694
3,749,,0.0024080444127321243,
3,799,,0.0040352847427129745,
3,849,,0.019360782578587532,
3,899,,0.010856172069907188,
3,947,,,0.02693142369389534
4,949,,0.019680101424455643,
4,999,,0.016497930511832237,
4,1049,,0.0023638736456632614,
4,1099,,0.0035660145804286003,
4,1149,,0.004856480751186609,
4,1184,,,0.02275977097451687
5,1199,,0.0912705510854721,
5,1249,,0.009532853029668331,
5,1299,,0.0638640895485878,
5,1349,,0.008058276027441025,
5,1399,,0.016444522887468338,
5,1421,,,0.022839510813355446
6,1449,,0.002923336811363697,
6,1499,,0.0062515754252672195,
6,1549,,0.004055721685290337,
6,1599,,0.0033169148955494165,
6,1649,,0.0332365520298481,
6,1658,,,0.026821257546544075
7,1699,,0.016779277473688126,
7,1749,,0.019068177789449692,
7,1799,,0.03626316785812378,
7,1849,,0.037613365799188614,
7,1895,,,0.019864870235323906
8,1899,,0.001666560536250472,
8,1949,,0.0012700730003416538,
8,1999,,0.02333877608180046,
8,2049,,0.008211559616029263,
8,2099,,0.002929141279309988,
8,2132,,,0.020248159766197205
9,2149,,0.003974258899688721,
9,2199,,0.025274239480495453,
9,2249,,0.008753946051001549,
9,2299,,0.0007309862412512302,
9,2349,,0.003764503402635455,
9,2369,,,0.02107880264520645
10,2399,,0.03723355382680893,
10,2449,,0.020187262445688248,
10,2499,,0.005020660813897848,
10,2549,,0.0020038264337927103,
10,2599,,0.0038555897772312164,
10,2606,,,0.01947600208222866
11,2649,,0.017379259690642357,
11,2699,,0.0022030994296073914,
11,2749,,0.0016318433918058872,
11,2799,,0.00038758449954912066,
11,2843,,,0.018610045313835144
12,2849,,0.0015918202698230743,
12,2899,,0.002955411095172167,
12,2949,,0.012339476495981216,
12,2999,,0.019191881641745567,
12,3049,,0.037829820066690445,
12,3080,,,0.017568079754710197
13,3099,,0.0017977535026147962,
13,3149,,0.0016934361774474382,
13,3199,,0.009398400783538818,
13,3249,,0.030723106116056442,
13,3299,,0.0014899708330631256,
13,3317,,,0.019332220777869225
14,3349,,0.00025048002135008574,
14,3399,,0.0001443456276319921,
14,3449,,0.02986300364136696,
14,3499,,0.010265030898153782,
14,3549,,0.0049712173640728,
14,3554,,,0.017992407083511353
15,3555,0.02436843514442444,,
