epoch,step,test_loss,train_loss,val_loss
0,49,,0.4128969609737396,
0,99,,0.19490355253219604,
0,149,,0.0993640124797821,
0,199,,0.11596997827291489,
0,236,,,0.07760264724493027
1,249,,0.13645996153354645,
1,299,,0.03275489807128906,
1,349,,0.036888524889945984,
1,399,,0.026845749467611313,
1,449,,0.014865841716527939,
1,473,,,0.045035284012556076
2,499,,0.06709107756614685,
2,549,,0.022902002558112144,
2,599,,0.01668388396501541,
2,649,,0.0334012508392334,
2,699,,0.028013642877340317,
2,710,,,0.03554524853825569
3,749,,0.006308176554739475,
3,799,,0.0465472936630249,
3,849,,0.008609393611550331,
3,899,,0.05796114355325699,
3,947,,,0.03414135053753853
4,949,,0.013620356097817421,
4,999,,0.006743813864886761,
4,1049,,0.0027879304252564907,
4,1099,,0.0051006232388317585,
4,1149,,0.038079194724559784,
4,1184,,,0.027943016961216927
5,1199,,0.004643644206225872,
5,1249,,0.004069749731570482,
5,1299,,0.0018453156808391213,
5,1349,,0.004472757689654827,
5,1399,,0.011587698943912983,
5,1421,,,0.02597797103226185
6,1449,,0.04033871740102768,
6,1499,,0.013527391478419304,
6,1549,,0.03248066455125809,
6,1599,,0.0537981241941452,
6,1649,,0.01439705304801464,
6,1658,,,0.022389139980077744
7,1699,,0.0015279969666153193,
7,1749,,0.002484336029738188,
7,1799,,0.012342014349997044,
7,1849,,0.005260411649942398,
7,1895,,,0.02162776328623295
8,1899,,0.022863298654556274,
8,1949,,0.0013068204279989004,
8,1999,,0.007271436043083668,
8,2049,,0.017089011147618294,
8,2099,,0.001367243705317378,
8,2132,,,0.02102934755384922
9,2149,,0.0035076290369033813,
9,2199,,0.0070596965961158276,
9,2249,,0.002782318973913789,
9,2299,,0.002134655835106969,
9,2349,,0.0030298016499727964,
9,2369,,,0.022238917648792267
10,2399,,0.015519129112362862,
10,2449,,0.00811324454843998,
10,2499,,0.004983893595635891,
10,2549,,0.022385092452168465,
10,2599,,0.022136511281132698,
10,2606,,,0.018642207607626915
11,2649,,0.02792436070740223,
11,2699,,0.012222222983837128,
11,2749,,0.0033435507211834192,
11,2799,,0.0018131989054381847,
11,2843,,,0.018012529239058495
12,2849,,0.0009805822046473622,
12,2899,,0.0016512357397004962,
12,2949,,0.001791825401596725,
12,2999,,0.0029794720467180014,
12,3049,,0.028107842430472374,
12,3080,,,0.018141455948352814
13,3099,,0.03114188462495804,
13,3149,,0.00019552771118469536,
13,3199,,0.0003744059649761766,
13,3249,,0.0015767354052513838,
13,3299,,0.00471105333417654,
13,3317,,,0.01744191162288189
14,3349,,0.008868381381034851,
14,3399,,0.0011881164973601699,
14,3449,,5.1699928008019924e-05,
14,3499,,0.005824238993227482,
14,3549,,0.0019591087475419044,
14,3554,,,0.017040427774190903
15,3555,0.02281022258102894,,
