epoch,step,test_loss,train_loss,val_loss
0,49,,0.4101954698562622,
0,99,,0.16742867231369019,
0,149,,0.1094592958688736,
0,199,,0.11265335977077484,
0,236,,,0.08508968353271484
1,249,,0.08962501585483551,
1,299,,0.043220020830631256,
1,349,,0.03429035842418671,
1,399,,0.044515326619148254,
1,449,,0.005916322581470013,
1,473,,,0.04995749145746231
2,499,,0.007155777886509895,
2,549,,0.027943674474954605,
2,599,,0.01476425863802433,
2,649,,0.00962509773671627,
2,699,,0.016638409346342087,
2,710,,,0.040388233959674835
3,749,,0.08115198463201523,
3,799,,0.006009160540997982,
3,849,,0.022309165447950363,
3,899,,0.007725633215159178,
3,947,,,0.03383496031165123
4,949,,0.045100949704647064,
4,999,,0.020291175693273544,
4,1049,,0.01350806187838316,
4,1099,,0.01329235453158617,
4,1149,,0.012123818509280682,
4,1184,,,0.03184203803539276
5,1199,,0.04425939917564392,
5,1249,,0.03299766033887863,
5,1299,,0.01822621561586857,
5,1349,,0.024702493101358414,
5,1399,,0.008113625459372997,
5,1421,,,0.030523741617798805
6,1449,,0.006592332851141691,
6,1499,,0.006139189936220646,
6,1549,,0.018622849136590958,
6,1599,,0.0007078153430484235,
6,1649,,0.028104286640882492,
6,1658,,,0.026959683746099472
7,1699,,0.012610348872840405,
7,1749,,0.020736288279294968,
7,1799,,0.00355545268394053,
7,1849,,0.02175056003034115,
7,1895,,,0.028981531038880348
8,1899,,0.004099216312170029,
8,1949,,0.0046890233643352985,
8,1999,,0.0011994398664683104,
8,2049,,0.005510454531759024,
8,2099,,0.002080878708511591,
8,2132,,,0.023087821900844574
9,2149,,0.010594714432954788,
9,2199,,0.012874659150838852,
9,2249,,0.029059384018182755,
9,2299,,0.001221586368046701,
9,2349,,0.0011518115643411875,
9,2369,,,0.029045261442661285
10,2399,,0.0006920317537151277,
10,2449,,0.012012666091322899,
10,2499,,0.0018823775462806225,
10,2549,,0.0009670433937571943,
10,2599,,0.018960554152727127,
10,2606,,,0.027788886800408363
11,2649,,0.022591523826122284,
11,2699,,0.006950968410819769,
11,2749,,0.0029647897463291883,
11,2799,,0.0002557452244218439,
11,2843,,,0.029152534902095795
12,2849,,0.00028346909675747156,
12,2899,,0.0005025507416576147,
12,2949,,0.0006459682481363416,
12,2999,,0.0029379487968981266,
12,3049,,0.0008010443998500705,
12,3080,,,0.02115211822092533
13,3099,,0.013006787747144699,
13,3149,,0.011251384392380714,
13,3199,,0.00774803152307868,
13,3249,,0.00035055234911851585,
13,3299,,0.000924888183362782,
13,3317,,,0.02495064213871956
14,3349,,0.00016564916586503386,
14,3399,,0.0055918884463608265,
14,3449,,0.002491304185241461,
14,3499,,0.006089175119996071,
14,3549,,0.010482524521648884,
14,3554,,,0.024233048781752586
15,3555,0.015482005663216114,,
