epoch,step,test_loss,train_loss,val_loss
0,49,,0.44057637453079224,
0,99,,0.20356385409832,
0,149,,0.07561278343200684,
0,199,,0.0734746977686882,
0,236,,,0.08511542528867722
1,249,,0.1372772604227066,
1,299,,0.06587332487106323,
1,349,,0.0675455778837204,
1,399,,0.059587813913822174,
1,449,,0.06587079912424088,
1,473,,,0.048988837748765945
2,499,,0.007126077078282833,
2,549,,0.04711400717496872,
2,599,,0.07565929740667343,
2,649,,0.022320695221424103,
2,699,,0.008645817637443542,
2,710,,,0.03578352555632591
3,749,,0.009201708249747753,
3,799,,0.007287019398063421,
3,849,,0.008531351573765278,
3,899,,0.015295194461941719,
3,947,,,0.028927840292453766
4,949,,0.021741796284914017,
4,999,,0.0026778820902109146,
4,1049,,0.018392611294984818,
4,1099,,0.08403009176254272,
4,1149,,0.037897784262895584,
4,1184,,,0.0254373736679554
5,1199,,0.009791363030672073,
5,1249,,0.02242092788219452,
5,1299,,0.002139964373782277,
5,1349,,0.012125419452786446,
5,1399,,0.01600639708340168,
5,1421,,,0.02419772744178772
6,1449,,0.02188280038535595,
6,1499,,0.03257158771157265,
6,1549,,0.0005844804691150784,
6,1599,,0.008442473597824574,
6,1649,,0.011096056550741196,
6,1658,,,0.023433873429894447
7,1699,,0.002847015392035246,
7,1749,,0.036394741386175156,
7,1799,,0.008914896287024021,
7,1849,,0.027041852474212646,
7,1895,,,0.0207122303545475
8,1899,,0.007175703998655081,
8,1949,,0.0036371517926454544,
8,1999,,0.028160186484456062,
8,2049,,0.01800120435655117,
8,2099,,0.051280006766319275,
8,2132,,,0.02026783861219883
9,2149,,0.09218227118253708,
9,2199,,0.029287174344062805,
9,2249,,0.016643835231661797,
9,2299,,0.02527022361755371,
9,2349,,0.0014436810743063688,
9,2369,,,0.023792102932929993
10,2399,,0.003638033289462328,
10,2449,,0.010576995089650154,
10,2499,,0.008031289093196392,
10,2549,,0.004471548832952976,
10,2599,,0.004364184569567442,
10,2606,,,0.01996847428381443
11,2649,,0.0013512142468243837,
11,2699,,0.00032104726415127516,
11,2749,,0.00043206813279539347,
11,2799,,0.004213272128254175,
11,2843,,,0.020914312452077866
12,2849,,0.001429978758096695,
12,2899,,0.0393424928188324,
12,2949,,0.014188261702656746,
12,2999,,0.02102779969573021,
12,3049,,0.005111480597406626,
12,3080,,,0.023347897455096245
13,3099,,0.025467807427048683,
13,3149,,0.00110330106690526,
13,3199,,0.0004900635685771704,
13,3249,,0.002653956413269043,
13,3299,,0.0065094479359686375,
13,3317,,,0.02213900350034237
14,3349,,0.002306409180164337,
14,3399,,0.008771269582211971,
14,3449,,0.008917170576751232,
14,3499,,0.00628240592777729,
14,3549,,0.0442916676402092,
14,3554,,,0.01704731583595276
15,3555,0.013870550319552422,,
