epoch,step,test_loss,train_loss,val_loss
0,49,,0.46071135997772217,
0,99,,0.20217689871788025,
0,149,,0.16295412182807922,
0,199,,0.05793524160981178,
0,236,,,0.07941694557666779
1,249,,0.02872524969279766,
1,299,,0.04054935649037361,
1,349,,0.01743163913488388,
1,399,,0.09822741150856018,
1,449,,0.01743888109922409,
1,473,,,0.04399566352367401
2,499,,0.03052753023803234,
2,549,,0.04405900090932846,
2,599,,0.021919377148151398,
2,649,,0.042667534202337265,
2,699,,0.04796259105205536,
2,710,,,0.03437266871333122
3,749,,0.03292712941765785,
3,799,,0.07901579141616821,
3,849,,0.013544144108891487,
3,899,,0.015417613089084625,
3,947,,,0.02633940987288952
4,949,,0.041811857372522354,
4,999,,0.045074738562107086,
4,1049,,0.03084709122776985,
4,1099,,0.016868852078914642,
4,1149,,0.008610274642705917,
4,1184,,,0.022880632430315018
5,1199,,0.0205673985183239,
5,1249,,0.009843721054494381,
5,1299,,0.004546274431049824,
5,1349,,0.03939313814043999,
5,1399,,0.009495776146650314,
5,1421,,,0.02068834938108921
6,1449,,0.0006878978456370533,
6,1499,,0.03819708153605461,
6,1549,,0.008351163007318974,
6,1599,,0.018208250403404236,
6,1649,,0.02429172769188881,
6,1658,,,0.023881882429122925
7,1699,,0.0046765683218836784,
7,1749,,0.0499737486243248,
7,1799,,0.002856856444850564,
7,1849,,0.051084551960229874,
7,1895,,,0.017999647185206413
8,1899,,0.0029114477802067995,
8,1949,,0.001298493822105229,
8,1999,,0.004552243277430534,
8,2049,,0.0412224605679512,
8,2099,,0.00015609586262144148,
8,2132,,,0.016451656818389893
9,2149,,0.017649494111537933,
9,2199,,0.0016651366604492068,
9,2249,,0.008798758499324322,
9,2299,,0.0039833043701946735,
9,2349,,0.018995177000761032,
9,2369,,,0.018075376749038696
10,2399,,0.0013901408528909087,
10,2449,,0.017846494913101196,
10,2499,,0.009150427766144276,
10,2549,,0.0006690169684588909,
10,2599,,0.009283822029829025,
10,2606,,,0.01521305926144123
11,2649,,0.010894734412431717,
11,2699,,0.0168463122099638,
11,2749,,0.004181313328444958,
11,2799,,0.006221544463187456,
11,2843,,,0.015437577851116657
12,2849,,0.0071258870884776115,
12,2899,,0.03513487055897713,
12,2949,,0.049071792513132095,
12,2999,,0.0025566979311406612,
12,3049,,0.0026817768812179565,
12,3080,,,0.015405216254293919
13,3099,,0.0008344323141500354,
13,3149,,0.0019155226182192564,
13,3199,,0.030115865170955658,
13,3249,,0.0015026201726868749,
13,3299,,6.786645099055022e-05,
13,3317,,,0.014247304759919643
14,3349,,0.004418105818331242,
14,3399,,0.0025129152927547693,
14,3449,,0.0054087210446596146,
14,3499,,0.00017229965305887163,
14,3549,,0.00026420969516038895,
14,3554,,,0.021470654755830765
15,3555,0.03302609920501709,,
