epoch,step,test_loss,train_loss,val_loss
0,49,,0.3439948558807373,
0,99,,0.1446378231048584,
0,149,,0.08089505136013031,
0,199,,0.0780138298869133,
0,236,,,0.07149184495210648
1,249,,0.050099313259124756,
1,299,,0.04827487841248512,
1,349,,0.019279845058918,
1,399,,0.06903037428855896,
1,449,,0.021939724683761597,
1,473,,,0.037652816623449326
2,499,,0.0359787754714489,
2,549,,0.015473272651433945,
2,599,,0.01483125239610672,
2,649,,0.010777055285871029,
2,699,,0.019286686554551125,
2,710,,,0.02838899940252304
3,749,,0.06064928323030472,
3,799,,0.030576620250940323,
3,849,,0.002082384657114744,
3,899,,0.014441021718084812,
3,947,,,0.02341676689684391
4,949,,0.009899523109197617,
4,999,,0.009619385004043579,
4,1049,,0.01368184294551611,
4,1099,,0.003320910967886448,
4,1149,,0.026117373257875443,
4,1184,,,0.021510247141122818
5,1199,,0.004959366284310818,
5,1249,,0.02403302490711212,
5,1299,,0.036787424236536026,
5,1349,,0.009767543524503708,
5,1399,,0.05258633941411972,
5,1421,,,0.018573181703686714
6,1449,,0.0024569041561335325,
6,1499,,0.003777198027819395,
6,1549,,0.0055833556689321995,
6,1599,,0.008558230474591255,
6,1649,,0.02127222716808319,
6,1658,,,0.018523093312978745
7,1699,,0.11830086261034012,
7,1749,,0.08986638486385345,
7,1799,,0.0008647229988127947,
7,1849,,0.020592547953128815,
7,1895,,,0.017859790474176407
8,1899,,0.0027024962473660707,
8,1949,,0.0009586335509084165,
8,1999,,0.03937404230237007,
8,2049,,0.007611749693751335,
8,2099,,0.010842427611351013,
8,2132,,,0.018870601430535316
9,2149,,0.0045690094120800495,
9,2199,,0.0074850888922810555,
9,2249,,0.006899671629071236,
9,2299,,0.0035647142212837934,
9,2349,,0.0773439109325409,
9,2369,,,0.016315605491399765
10,2399,,0.0027983556501567364,
10,2449,,0.0162428580224514,
10,2499,,0.0016022752970457077,
10,2549,,0.00205558305606246,
10,2599,,0.010238154791295528,
10,2606,,,0.01793656311929226
11,2649,,0.004141313023865223,
11,2699,,0.007648496422916651,
11,2749,,0.001404003705829382,
11,2799,,0.010121162049472332,
11,2843,,,0.015872573480010033
12,2849,,0.00805741734802723,
12,2899,,0.01462495606392622,
12,2949,,0.0020925081335008144,
12,2999,,0.008708237670361996,
12,3049,,0.01665935479104519,
12,3080,,,0.016169007867574692
13,3099,,0.003675516927614808,
13,3149,,0.001020394847728312,
13,3199,,0.004643698688596487,
13,3249,,0.0047518485225737095,
13,3299,,0.00031271614716388285,
13,3317,,,0.016864147037267685
14,3349,,0.005124236457049847,
14,3399,,0.000498287146911025,
14,3449,,0.0011115968227386475,
14,3499,,0.011594286188483238,
14,3549,,0.05080056190490723,
14,3554,,,0.016281774267554283
15,3555,0.030313681811094284,,
